Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category,Small,Medium,Large
Jindal Aluminium,3.8,(314 reviews),4.5K followers ,"Metals & Mining, Public, Corporate, B2B",Public,1968 (56 yrs old),,,http://www.jindalaluminium.com,Corporate,,False,False,False
Clarion Technologies,3.7,(119 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2000 (24 yrs old),201-500,"Pune, Maharashtra",https://www.clariontech.com/,Corporate,Medium,False,True,False
Apropos Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),Nov-50,,http://www.apropostechnologies.com,Corporate,Small,True,False,False
Isc Projects,3.7,(168 reviews),0,"Engineering & Construction, Private, Corporate, B2B",Private,1967 (57 yrs old),51-200,,https://www.iscprojects.co.in/,Corporate,Small,True,False,False
Chimera Technologies,,,0,"IT Services & Consulting, Financial Services, FinTech / Payments, Software Product, Private, Corporate, B2B",Private,2001 (23 yrs old),51-200,"Bengaluru, India",https://www.chimeratechnologies.com/,Corporate,Small,True,False,False
Astrotech India,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2003 (21 yrs old),02-Oct,,https://www.astrotechindia.com/,Corporate,Small,True,False,False
Blue Digital Media,,,0,"Advertising & Marketing, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.bluedigital.co.in,Corporate,Small,True,False,False
Tech SMC Square,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2017 (7 yrs old),51-200,,https://smc2.com/,Corporate,Small,True,False,False
Gujarat Fluorochemicals,3.8,(89 reviews),0,"Chemicals, Public, Corporate, B2B",Public,1987 (37 yrs old),1001-5000,,http://gfl.co.in,Corporate,Medium,False,True,False
Arya Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1996 (28 yrs old),51-200,,http://aryatechnologies.net/,Corporate,Small,True,False,False
Wonderbiz Technologies,4.0,(31 reviews),0,"Industrial Automation, Oil & Gas, Private, Corporate, B2B",Private,2011 (13 yrs old),51-200,"Thane, Maharashtra",https://www.wonderbizglobal.com/,Corporate,Small,True,False,False
Esteem Projects,3.8,(47 reviews),0,"Industrial Equipment / Machinery, Financial Services, Private, Corporate, B2B",Private,1994 (30 yrs old),51-200,,https://www.esteemprojects.com/,Corporate,Small,True,False,False
Aaryavarta Technologies,4.1,(4 reviews),0,"Gaming, Private, Corporate, B2B",Private,2015 (9 yrs old),Nov-50,,http://www.aaryavarta.com/,Corporate,Small,True,False,False
MCLENE Soft Solutions,,,0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2007 (17 yrs old),,,https://mclene.com/,Corporate,,False,False,False
Acuity Software Technologies,,,0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2001 (23 yrs old),Nov-50,,http://www.acuitysoft.com,Corporate,Small,True,False,False
Maharashtra Seamless (MSL),3.6,(356 reviews),0,"Building Material, Engineering & Construction, Public, Corporate, B2B",Public,1988 (36 yrs old),1001-5000,,http://www.jindal.com/msl,Corporate,Medium,False,True,False
Multi Organics,,,0,"Chemicals, Private, Corporate, B2B",Private,1976 (48 yrs old),201-500,,http://www.multiorganics.com/,Corporate,Medium,False,True,False
JRK Research,3.7,(40 reviews),0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,1992 (32 yrs old),51-200,,http://www.jrkresearch.com,Corporate,Small,True,False,False
BAeHAL ,,,0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,1993 (31 yrs old),201-500,,https://www.baehal.com/,Corporate,Medium,False,True,False
Stellar Organisation,,,0,"Advertising & Marketing, Corporate, B2C, B2B",Proprietorship,2004 (20 yrs old),201-500,,http://www.stellarorganisation.com,Corporate,Medium,False,True,False
Trimble,4.2,(181 reviews),743 followers ,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,1978 (46 yrs old),10001-50000,"Sunnyvale, California, United States (USA)",https://www.trimble.com/en/,Corporate,Large,False,False,True
Livetek Solutions,,,0,"IT Services & Consulting, Corporate, B2B",,1998 (26 yrs old),,,http://www.livetek.com/,Corporate,,False,False,False
Superior Innovative Technologies,3.9,(9 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2003 (21 yrs old),201-500,,http://sivtek.com,Corporate,Medium,False,True,False
Codeforce 360,4.0,(73 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),501-1000,,https://codeforce.com,Corporate,Medium,False,True,False
iGuru,3.9,(46 reviews),0,"e-Learning / EdTech, Private, Corporate, SaaS",Private,2017 (7 yrs old),51-200,,https://iguru.guru/,Corporate,Small,True,False,False
Indecomm,3.8,(393 reviews),1.5K followers ,"IT Services & Consulting, Private, Corporate, B2B",Private,2003 (21 yrs old),1001-5000,,https://indecomm.com/,Corporate,Medium,False,True,False
Transcorp International,,,0,"NBFC, Public, Corporate, B2C, B2B",Public,1994 (30 yrs old),201-500,,http://www.transcorpint.com,Corporate,Medium,False,True,False
iSpatial Techno,4.2,(27 reviews),0,"IT Services & Consulting, LLP, Corporate, B2B",LLP,2009 (15 yrs old),51-200,,http://ispatialtec.com,Corporate,Small,True,False,False
Bisleri,4.2,(1K reviews),208 followers ,"Beverage, Food Processing, Private, Corporate, B2C",Private,1965 (59 yrs old),1001-5000,,http://www.bisleri.com,Corporate,Medium,False,True,False
Paramatrix Technologies,4.4,(162 reviews),0,"Software Product, Private, Corporate, B2B",Private,2004 (20 yrs old),1001-5000,,http://www.paramatrix.com,Corporate,Medium,False,True,False
Walking Tree,3.9,(183 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,"Hyderabad / Secunderabad, Telangana",https://walkingtree.tech/,Corporate,Small,True,False,False
PreludeSys,3.6,(217 reviews),1K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1999 (25 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Gaea Technologies,4.5,(4 reviews),564 followers ,"IT Services & Consulting, Foreign MNC, B2B",,2007 (17 yrs old),,,,Foreign MNC,,False,False,False
Pinkerton,3.9,(199 reviews),356 followers ,"Law Enforcement / Security Services, Private, Foreign MNC, B2B",Private,1850 (174 yrs old),1001-5000,,https://www.pinkerton.com/,Foreign MNC,Medium,False,True,False
MaxLinear,,,299 followers ,"Electronic Components / Semiconductors, Internet, Private, Foreign MNC, B2B",Private,2003 (21 yrs old),1001-5000,,https://www.maxlinear.com/,Foreign MNC,Medium,False,True,False
MasterCard,4.1,(584 reviews),4.5K followers ,"IT Services & Consulting, Financial Services, Internet, Private, Foreign MNC, B2C, B2B",Private,1966 (58 yrs old),10001-50000,,http://www.mastercard.com,Foreign MNC,Large,False,False,True
Teknowledge Software,4.9,(6 reviews),320 followers ,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2B",Private,2006 (18 yrs old),Nov-50,,,Foreign MNC,Small,True,False,False
Photon,4.0,(1.4K reviews),5.7K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1999 (25 yrs old),1001-5000,,http://www.photon.in,Foreign MNC,Medium,False,True,False
MSCI,4.1,(221 reviews),14.3K followers ,"Financial Services, Investment Banking / Venture Capital / Private Equity, Public, Foreign MNC, B2B",Public,1969 (55 yrs old),1001-5000,"New York, New York",https://www.msci.com/,Foreign MNC,Medium,False,True,False
Griffith foods,4.3,(24 reviews),0,"Food Processing, Manufacturing, Private, Foreign MNC, B2B",Private,1919 (105 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Salcomp,4.1,(611 reviews),0,"Electronics Manufacturing, Private, Foreign MNC, B2B",Private,2006 (18 yrs old),10001-50000,,http://www.salcomp.com,Foreign MNC,Large,False,False,True
Axis Telecom,,,0,"Telecom / ISP, Private, Foreign MNC, B2B",Private,2008 (16 yrs old),,,http://www.axistelecominc.com/,Foreign MNC,,False,False,False
Hitachi Data Systems,3.8,(499 reviews),0,"IT Services & Consulting, Emerging Technologies, Private, Foreign MNC, B2B",Private,2023 (1 yr old),1001-5000,Santa Clara,https://hitachids.com,Foreign MNC,Medium,False,True,False
Logic Planet,,,141 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2001 (23 yrs old),,,http://www.logicplanet.com/,Foreign MNC,,False,False,False
G4S,4.0,(2K reviews),2.6K followers ,"Law Enforcement / Security Services, Financial Services, Facility Management Services, NBFC, Private, Corporate, Foreign MNC, B2B",Private,1996 (28 yrs old),100001+,,http://www.g4s.com,Foreign MNC,Large,False,False,True
Cytel,4.2,(48 reviews),289 followers ,"Clinical Research / Contract Research, Software Product, Private, Foreign MNC, B2B",Private,1988 (36 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
World Resources Institute (WRI),4.5,(15 reviews),238 followers ,"NGO / Social Services / Industry Associations, Private, Foreign MNC, B2B",Private,1982 (42 yrs old),51-200,,http://www.wri.org,Foreign MNC,Small,True,False,False
nVent,4.2,(44 reviews),0,"Electronics Manufacturing, Electrical Equipment, Foreign MNC, B2B",,2018 (6 yrs old),100001+,,https://www.nvent.com/,Foreign MNC,Large,False,False,True
Synamedia,,,511 followers ,"Software Product, Private, Foreign MNC, B2B",Private,2018 (6 yrs old),1001-5000,"Staines, Middlesex",https://www.synamedia.com/,Foreign MNC,Medium,False,True,False
ANTOLIN,3.7,(227 reviews),510 followers ,"Automobile, Private, Foreign MNC, B2B",Private,1950 (74 yrs old),10001-50000,"Burgos, Castile-Le�n, Spain",https://www.antolin.com/en,Foreign MNC,Large,False,False,True
Logixal Solutions,3.8,(32 reviews),103 followers ,"IT Services & Consulting, Private, Foreign MNC, B2C",Private,2006 (18 yrs old),51-200,,http://www.logixal.com/,Foreign MNC,Small,True,False,False
PM AM Corporation,4.1,(45 reviews),111 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1999 (25 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Piramal Pharma Limited,4.0,(717 reviews),1.7K followers ,"Pharmaceutical & Life Sciences, Public, Foreign MNC, B2B",Public,1988 (36 yrs old),1001-5000,Lexington,https://www.piramal.com/businesses/piramal-pharma/,Foreign MNC,Medium,False,True,False
Arrelic,4.1,(29 reviews),0,"Management Consulting, Education / Training, e-Learning / EdTech, Emerging Technologies, IT Services & Consulting, Industrial Automation, Private, Foreign MNC, B2B",Private,2016 (8 yrs old),51-200,"Manama, Capital Governorate",http://arrelic.com/,Foreign MNC,Small,True,False,False
Safran Aircraft Engines,4.2,(17 reviews),492 followers ,"Aviation, Defence & Aerospace, Foreign MNC, B2B",,2005 (19 yrs old),10001-50000,,https://www.safran-group.com/,Foreign MNC,Large,False,False,True
Dyson,3.8,(141 reviews),291 followers ,"Consumer Electronics & Appliances, Education / Training, Private, Foreign MNC, B2C",Private,1993 (31 yrs old),10001-50000,,https://www.dyson.in/,Foreign MNC,Large,False,False,True
Bytes Technolab,,,0,"IT Services & Consulting, Analytics / KPO / Research, LLP, Foreign MNC, B2B",LLP,2011 (13 yrs old),,,http://www.bytestechnolab.com,Foreign MNC,,False,False,False
Marriott,4.3,(1.1K reviews),59.7K followers ,"Hotels & Restaurants, Private, Foreign MNC, B2C",Private,1927 (97 yrs old),100001+,,,Foreign MNC,Large,False,False,True
SUEZ,4.2,(295 reviews),943 followers ,"Water Treatment / Waste Management, Power, Analytics / KPO / Research, Private, Foreign MNC, B2B",Private,1997 (27 yrs old),50001-100000,,https://www.suez.com/en,Foreign MNC,Large,False,False,True
Mott MacDonald,4.3,(528 reviews),799 followers ,"Management Consulting, Foreign MNC, B2B",,1989 (35 yrs old),10001-50000,,http://mottmac.com,Foreign MNC,Large,False,False,True
Auxano Global Services (AGS),3.6,(7 reviews),0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2011 (13 yrs old),,,https://www.auxanoglobalservices.com,Foreign MNC,,False,False,False
Airbus,3.9,(256 reviews),26.2K followers ,"Aviation, Defence & Aerospace, Public, Foreign MNC, B2B",Public,1970 (54 yrs old),10001-50000,"Leiden, Netherlands",https://www.airbus.com/,Foreign MNC,Large,False,False,True
GHX,3.8,(15 reviews),173 followers ,"IT Services & Consulting, Foreign MNC, B2B",,2000 (24 yrs old),1001-5000,Louisville,https://www.ghx.com/,Foreign MNC,Medium,False,True,False
Analec Infotech,,,0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2003 (21 yrs old),51-200,,http://www.analec.com,Foreign MNC,Small,True,False,False
Access Healthcare,3.9,(2.8K reviews),1.3K followers ,"IT Services & Consulting, Internet, Private, Foreign MNC, B2B",Private,2011 (13 yrs old),10001-50000,,https://www.accesshealthcare.com/,Foreign MNC,Large,False,False,True
Neudesic Technologies,3.9,(146 reviews),208 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2002 (22 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Xceedance,3.7,(577 reviews),314 followers ,"Insurance, Private, Foreign MNC, B2B",Private,2013 (11 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Accion Labs,3.7,(368 reviews),2.8K followers ,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2B",Private,2011 (13 yrs old),1001-5000,,https://www.accionlabs.com/,Foreign MNC,Medium,False,True,False
Cadence,4.2,(238 reviews),529 followers ,"IT Services & Consulting, Public, Foreign MNC, B2B",Public,1988 (36 yrs old),5001-10000,,http://www.cadence.com/,Foreign MNC,Medium,False,True,False
Valeo,4.1,(1K reviews),1.8K followers ,"Auto Components, Industrial Equipment / Machinery, Private, Foreign MNC, B2B",Private,1923 (101 yrs old),10001-50000,,https://www.valeo.com/en/india/,Foreign MNC,Large,False,False,True
Faurecia,4.0,(1.1K reviews),923 followers ,"Auto Components, Automobile, Private, Foreign MNC, B2B",Private,1997 (27 yrs old),100001+,,http://www.faurecia.com/,Foreign MNC,Large,False,False,True
Calpion Software Technologies,,,198 followers ,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2C",Private,2004 (20 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
iQuanti,,,0,"Advertising & Marketing, Internet, Private, Foreign MNC, B2B",Private,2008 (16 yrs old),201-500,,https://www.iquanti.com/,Foreign MNC,Medium,False,True,False
Summa Linguae Technologies,3.7,(26 reviews),0,"Content Development / Language, Private, Foreign MNC, B2B",Private,2003 (21 yrs old),51-200,,http://www.summalinguae.com,Foreign MNC,Small,True,False,False
PrimaFelicitas,5.0,(3 reviews),0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2014 (10 yrs old),Nov-50,,,Foreign MNC,Small,True,False,False
TMF Group,3.8,(218 reviews),433 followers ,"Financial Services, IT Services & Consulting, Private, Foreign MNC, B2C, B2B",Private,1988 (36 yrs old),10001-50000,"Amsterdam, North Holland",https://www.tmf-group.com/,Foreign MNC,Large,False,False,True
ITW India,4.2,(164 reviews),968 followers ,"Industrial Equipment / Machinery, Private, Foreign MNC, B2B",Private,1912 (112 yrs old),10001-50000,Glenview,https://www.itw.com/,Foreign MNC,Large,False,False,True
C Ahead Info Technologies,4.3,(14 reviews),0,"IT Services & Consulting, BPO / Call Centre, Private, Foreign MNC, B2B",Private,2004 (20 yrs old),201-500,,http://www.cahead.com,Foreign MNC,Medium,False,True,False
FCI OEN Connectors,3.8,(134 reviews),0,"Electrical Equipment, Foreign MNC, B2B",,1981 (43 yrs old),,,,Foreign MNC,,False,False,False
Assyst International,4.0,(20 reviews),0,"Emerging Technologies, Hardware & Networking, Software Product, Foreign MNC, B2B",Private,1993 (31 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
Ralph Lauren,4.4,(34 reviews),940 followers ,"Textile & Apparel, Foreign MNC, B2C, B2B",,1967 (57 yrs old),,,,Foreign MNC,,False,False,False
SE2,,,311 followers ,"IT Services & Consulting, LLP, Foreign MNC, B2B",LLP,2019 (5 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Buck,4.2,(67 reviews),586 followers ,"Recruitment / Staffing, Analytics / KPO / Research, Foreign MNC, B2B",,1916 (108 yrs old),1001-5000,"New York, United States (USA)",https://buck.com/,Foreign MNC,Medium,False,True,False
Spericorn Technology,,,0,"IT Services & Consulting, Foreign MNC, B2B",,2013 (11 yrs old),,,,Foreign MNC,,False,False,False
Leo TechnoSoft,,,0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Foreign MNC, B2B",Private,2006 (18 yrs old),51-200,,http://www.leotechnosoft.net,Foreign MNC,Small,True,False,False
PROLIM,3.9,(59 reviews),546 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2005 (19 yrs old),201-500,Farmington Hills,http://www.prolim.com,Foreign MNC,Medium,False,True,False
Aveva,4.3,(501 reviews),16.8K followers ,"Software Product, Internet, Hardware & Networking, Private, Foreign MNC, B2B, SaaS",Private,1967 (57 yrs old),1001-5000,"Cambridge, United Kingdom (UK)",https://www.aveva.com/,Foreign MNC,Medium,False,True,False
LatentView,3.8,(189 reviews),475 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2006 (18 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
EY,3.6,(8.9K reviews),108K followers ,"Management Consulting, Accounting / Auditing, Private, Foreign MNC, B2B",Private,2002 (22 yrs old),100001+,Gurugram,,Foreign MNC,Large,False,False,True
UnifyCloud,,,0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2009 (15 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Olx,3.8,(619 reviews),3.6K followers ,"IT Services & Consulting, Private, Foreign MNC, B2C, E-commerce",Private,2006 (18 yrs old),5001-10000,,https://www.olxgroup.com/,Foreign MNC,Medium,False,True,False
Cytel,4.2,(48 reviews),289 followers ,"Clinical Research / Contract Research, Software Product, Private, Foreign MNC, B2B",Private,1988 (36 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Envision Ecommerce,3.7,(16 reviews),0,"Power, Internet, Private, Foreign MNC, B2B",Private,2007 (17 yrs old),501-1000,,https://envisionecommerce.com/,Foreign MNC,Medium,False,True,False
MariApps Marine Solutions,3.6,(74 reviews),0,"IT Services & Consulting, Marine, Private, Foreign MNC, B2B",Private,2010 (14 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Emirates,3.9,(206 reviews),0,"Aviation, Airlines / Aviation / Aerospace, Urban Transport, Private, Foreign MNC, B2C, B2B",Private,1985 (39 yrs old),50001-100000,,,Foreign MNC,Large,False,False,True
Logon,4.1,(18 reviews),0,"IT Services & Consulting, Hardware & Networking, Private, Foreign MNC, B2B",Private,1993 (31 yrs old),Nov-50,,,Foreign MNC,Small,True,False,False
Gale Creative Agency,,,0,"Advertising & Marketing, Private, Foreign MNC, B2B",Private,2014 (10 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
Apptad,3.6,(22 reviews),0,"IT Services & Consulting, Foreign MNC",,2013 (11 yrs old),,,https://apptad.com/,Foreign MNC,,False,False,False
SEG Automotive,3.9,(128 reviews),812 followers ,"Auto Components, Foreign MNC, B2B",,2018 (6 yrs old),5001-10000,"Stuttgart, Baden-W�rttemberg",https://www.seg-automotive.com/,Foreign MNC,Medium,False,True,False
HERE Technologies,3.9,(1.3K reviews),3.1K followers ,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Foreign MNC, B2B",Private,1985 (39 yrs old),5001-10000,,https://www.here.com/,Foreign MNC,Medium,False,True,False
Fractal Analytics,4.0,(647 reviews),7.4K followers ,"Analytics / KPO / Research, Internet, Private, Foreign MNC, B2B, Unicorn",Private,2000 (24 yrs old),1001-5000,"New York, United States",https://fractal.ai/,Foreign MNC,Medium,False,True,False
3Pillar,3.6,(106 reviews),0,"Software Product, LLP, Foreign MNC, B2B",LLP,2006 (18 yrs old),1001-5000,,https://www.3pillarglobal.com/,Foreign MNC,Medium,False,True,False
Enfusion,3.8,(81 reviews),0,"FinTech / Payments, Financial Services, Investment Banking / Venture Capital / Private Equity, Private, Foreign MNC",Private,1997 (27 yrs old),1001-5000,,http://www.enfusion.com,Foreign MNC,Medium,False,True,False
Verizon,4.1,(1.3K reviews),11.2K followers ,"Telecom / ISP, Internet, IT Services & Consulting, Private, Foreign MNC, B2C, B2B, Conglomerate",Private,2000 (24 yrs old),100001+,New York,http://www.verizon.com,Foreign MNC,Large,False,False,True
Uniphore Software Systems,,,2K followers ,"Software Product, Internet, IT Services & Consulting, Private, Foreign MNC, B2B, SaaS, Unicorn",Private,2008 (16 yrs old),51-200,,,Foreign MNC,Small,True,False,False
VSH Solutions,4.1,(15 reviews),171 followers ,"IT Services & Consulting, Internet, Private, Foreign MNC, B2B",Private,2011 (13 yrs old),Nov-50,,,Foreign MNC,Small,True,False,False
ANZ,4.2,(909 reviews),10.7K followers ,"Financial Services, Foreign MNC, B2C, B2B",,2007 (17 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
CommerceIQ,,,262 followers ,"Software Product, Retail, Foreign MNC, B2B, E-commerce",,2013 (11 yrs old),201-500,"Bengaluru, India",https://commerceiq.ai/,Foreign MNC,Medium,False,True,False
Sparity,3.7,(41 reviews),127 followers ,"IT Services & Consulting, Advertising / PR / Events, Private, Foreign MNC, B2B",Private,2010 (14 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
LearningMate Solutions,3.7,(312 reviews),123 followers ,"e-Learning / EdTech, Internet, Education / Training, Private, Foreign MNC, B2B",Private,2001 (23 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Timken,3.9,(666 reviews),576 followers ,"Industrial Equipment / Machinery, Engineering & Construction, Public, Foreign MNC, B2B",Public,1998 (26 yrs old),10001-50000,,https://www.timken.com/en-in/,Foreign MNC,Large,False,False,True
Orange Business Services,4.3,(1.2K reviews),1.7K followers ,"IT Services & Consulting, Private, Foreign MNC, B2C, B2B",Private,1992 (32 yrs old),10001-50000,,https://www.orange-business.com/en,Foreign MNC,Large,False,False,True
American Technology Consulting,3.7,(14 reviews),640 followers ,"IT Services & Consulting, Consulting, Private, Foreign MNC, B2B",Private,2007 (17 yrs old),Nov-50,,http://www.american-technology.net,Foreign MNC,Small,True,False,False
Fidelity International,4.1,(484 reviews),720 followers ,"Investment Banking / Venture Capital / Private Equity, Private, Foreign MNC, B2C",Private,1969 (55 yrs old),5001-10000,"London, England",https://www.fidelity.co.in/,Foreign MNC,Medium,False,True,False
Cargill,4.1,(1.5K reviews),22K followers ,"Food Processing, Agriculture / Forestry / Fishing, BPO / Call Centre, Private, Foreign MNC, B2C, B2B, Conglomerate",Private,1865 (159 yrs old),100001+,Gurgaon,https://www.cargill.co.in/,Foreign MNC,Large,False,False,True
Iyuno Media Group,,,0,"Film / Music / Entertainment, Food Processing, Travel & Tourism / Hospitality, Private, Foreign MNC, B2B",Private,1995 (29 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
SHV Energy,3.9,(207 reviews),465 followers ,"Oil & Gas, Power, Private, Foreign MNC, B2B",Private,1996 (28 yrs old),50001-100000,,https://www.shvenergy.com/,Foreign MNC,Large,False,False,True
Envecon IT Systems,,,117 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2010 (14 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Qualitest,3.6,(534 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, Foreign MNC, B2B",Private,1997 (27 yrs old),1001-5000,,https://qualitestgroup.com/,Foreign MNC,Medium,False,True,False
TA Digital,4.0,(175 reviews),1.3K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),1001-5000,"Newark, California, United States (USA)",http://www.tadigital.com,Foreign MNC,Medium,False,True,False
Cadence,4.2,(238 reviews),529 followers ,"IT Services & Consulting, Public, Foreign MNC, B2B",Public,1988 (36 yrs old),5001-10000,,http://www.cadence.com/,Foreign MNC,Medium,False,True,False
Turner & Townsend,4.3,(57 reviews),474 followers ,"Engineering & Construction, LLP, Foreign MNC, B2B",LLP,1946 (78 yrs old),5001-10000,,,Foreign MNC,Medium,False,True,False
OPTITEX,3.7,(3 reviews),0,"Animation & VFX, Private, Foreign MNC, B2B",Private,1988 (36 yrs old),51-200,,,Foreign MNC,Small,True,False,False
MARKS & SPENCER (M&S),4.0,(685 reviews),6.5K followers ,"Retail, Textile & Apparel, Private, Foreign MNC, B2C",Private,1884 (140 yrs old),50001-100000,,http://www.marksandspencer.com,Foreign MNC,Large,False,False,True
Williams Lea,4.1,(405 reviews),252 followers ,"BPO / Call Centre, Public, Foreign MNC, B2B",Public,1820 (204 yrs old),5001-10000,,https://www.williamslea.com/,Foreign MNC,Medium,False,True,False
Omega Healthcare,3.8,(4.3K reviews),8.5K followers ,"Medical Services / Hospital, Software Product, Private, Foreign MNC, B2B",Private,2003 (21 yrs old),10001-50000,Florida ,https://www.omegahms.com/,Foreign MNC,Large,False,False,True
Columbus Global,4.1,(58 reviews),1.6K followers ,"IT Services & Consulting, Internet, Public, Foreign MNC, B2B",Public,1989 (35 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Netomi,,,309 followers ,"Emerging Technologies, Furniture & Furnishing, Private, Foreign MNC, B2C",Private,2015 (9 yrs old),Nov-50,,,Foreign MNC,Small,True,False,False
ARCADIS,4.2,(191 reviews),924 followers ,"IT Services & Consulting, Design, Public, Foreign MNC, B2B",Public,2009 (15 yrs old),10001-50000,"Bengaluru/Bangalore, Karnataka",https://www.arcadis.com/en/global/,Foreign MNC,Large,False,False,True
4sight,4.3,(10 reviews),0,"IT Services & Consulting, Foreign MNC, B2C, B2B",,2013 (11 yrs old),,,https://www.nsight-inc.com/,Foreign MNC,,False,False,False
PTC India,4.2,(442 reviews),413 followers ,"Software Product, Internet, IT Services & Consulting, Public, Foreign MNC, B2B, SaaS",Public,1985 (39 yrs old),5001-10000,"Boston, MA ",http://www.ptc.com,Foreign MNC,Medium,False,True,False
Marathon Electric India,3.7,(133 reviews),152 followers ,"Electronic Components / Semiconductors, Electronics, Manufacturing, Internet, Foreign MNC, B2C, B2B",,1913 (111 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
EQS Group AG,,,0,"IT Services & Consulting, Internet, Public, Foreign MNC, B2B, SaaS",Public,2000 (24 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
Tetra Pak,4.2,(319 reviews),31K followers ,"Design, Private, Foreign MNC, B2B",Private,1987 (37 yrs old),10001-50000,,https://www.tetrapak.com/,Foreign MNC,Large,False,False,True
Mitratech India,4.0,(74 reviews),395 followers ,"Software Product, Foreign MNC, B2B",,1987 (37 yrs old),,,,Foreign MNC,,False,False,False
Toshiba Software India,3.6,(167 reviews),1K followers ,"IT Services & Consulting, Software Product, Foreign MNC",,2002 (22 yrs old),1001-5000,"Bangalore Rural, Karnataka",http://www.toshiba-tsip.com/tsip/,Foreign MNC,Medium,False,True,False
Sage IT,3.9,(62 reviews),0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2003 (21 yrs old),1001-5000,,https://www.sageitinc.com,Foreign MNC,Medium,False,True,False
SoftDEL Systems,,,128 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1999 (25 yrs old),51-200,,http://www.softdel.com,Foreign MNC,Small,True,False,False
AFRY,3.8,(26 reviews),120 followers ,"Engineering & Construction, Power, Private, Foreign MNC, B2B",,1895 (129 yrs old),10001-50000,"Stockholm, Sweden",https://afry.com/en,Foreign MNC,Large,False,False,True
e2open,,,538 followers ,"Software Product, Hardware & Networking, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),1001-5000,"Austin, Texas",https://www.e2open.com/,Foreign MNC,Medium,False,True,False
Gerson Lehrman Group,3.6,(65 reviews),315 followers ,"Management Consulting, Private, Foreign MNC, B2B",Private,2006 (18 yrs old),501-1000,,https://glginsights.com/,Foreign MNC,Medium,False,True,False
